commit	event	strategy_name	sharpe	max_dd	note
ec575ca	evolve	VolBreakoutSized	0.9976	-15.0839	Evolved: volume threshold 1.3x→1.4x. Sharpe 1.085→0.998 (-0.09), profit 150%→134% (-16%), trades 1376→1348 (small drop), DD -16%→-15% (marginal improvement). The -28 trades the bump filtered were NET POSITIVE — Sharpe lost more than DD gained. 1.3x is the local optimum. Revert next round (clean -1-change isolation).
3263474	stable	ChannelADXTrend	0.0503	-18.4666	2 stable. Plan to touch r8 (stagnation triggers).
3263474	evolve	CrossPairMR	-0.2079	-39.7254	Evolved: rebound-start trigger (z<-2 prior + z rising current). Sharpe -0.05→-0.21 (WORSE). Even BNB lost its edge (+0.09→+0.01). The 'wait for the bounce' kills MR alpha — first bounce IS the edge, secondary moves are echoes/deadcat. After 2 MR implementations × 4 total evolves with no aggregate positive, MR paradigm exhausted on this 5-pair regime-mixed universe. Killing next round.
3263474	evolve	VolBreakoutSized	1.0853	-15.9557	Evolved (revert): 1.4x→1.3x. Cleanly back to r4 baseline. Confirms 1.3x is the local optimum for the volume threshold.
0a07869	stable	ChannelADXTrend	0.0503	-18.4666	3 stable. Plateaued at +0.05 across r4-r7 (4 evolves earlier). Trend paradigm has positive but very low ceiling on this universe — 4/5 pairs positive but AVAX drag persistent. Killing r8 to free slot for higher-leverage experiment (BTCLeaderBreak resurrection in regime mix).
0a07869	fork	VolBreakoutSized→VolBreakoutEqual	0.9720	-19.6107	Fork: parent VolBreakoutSized (1.085 Sharpe, 150% profit) → child VolBreakoutEqual (0.972 Sharpe, 220% profit, deeper DD -20%). Identical trades (1376 each, same WR 35.1%) — only sizing differs. Sortino 3.89→3.08 (Sized better risk-adjusted), Calmar 9.88→11.81 (Equal better return/DD). VOL-TARGET CARRIES NO EDGE — it's pure risk control. The breakout signal itself has full edge across regime-mixed data. This DIRECTLY answers v0.4.0 program.md's named question: 'real edge or sizing artifact?' Answer: real edge. Major finding.
0a07869	stable	VolBreakoutSized	1.0853	-15.9557	1 stable (post-fork-from). Parent in fork experiment, retained as known-good baseline.
86ee8cd	create	BTCLeaderBreakV4	0.5870	-19.8445	BTC 4h Donchian-15 break + 4h regime + 1.3x local-vol + SMA50 exit + vol-target. Sharpe 0.59, profit 85%, DD -20%, 626 trades, WR 34%, PF 1.37. ALL 5 PAIRS POSITIVE (Sharpe range 0.07-0.21, very even — leader signal homogenizes per-pair returns). Compare v0.3.0 BTCLeaderBreakX: 1.07 on bull-only. Regime mix costs ~45% Sharpe. Major finding: per-pair Donchian (VolBreakoutSized 1.085) is MORE regime-robust than BTC-leader cross-pair (V4 0.59). Regime mix flips v0.3.0's relative paradigm ordering.
86ee8cd	stable	VolBreakoutSized	1.0853	-15.9557	2 stable.
86ee8cd	stable	VolBreakoutEqual	0.9720	-19.6107	1 stable.
ece3f52	evolve	BTCLeaderBreakV4	0.6930	-19.5377	Evolved: Donchian 15→10. Sharpe 0.587→0.693 (+18%), profit 85%→99%, all 5 pairs improved. v0.3.0 terminal-channel optimum (10) transfers cleanly to regime mix. PF 1.37 maintained. Notable: V4's DD -19.5% MATCHES VolBreakoutEqual (-19.6%) and is WORSE than VolBreakoutSized (-15.9%) despite vol-target sizing. Mechanism: BTC-leader signal triggers ALL pairs simultaneously → concentrated portfolio DD during BTC-leadership cycles. Per-pair Donchian (Vol) staggers triggers naturally → DD diversifies. New finding emerging: leader-style strategies have structurally worse risk-distribution properties even with sizing.
ece3f52	stable	VolBreakoutSized	1.0853	-15.9557	3 stable. Must touch r11.
ece3f52	stable	VolBreakoutEqual	0.9720	-19.6107	2 stable. Plan to kill r10 — sizing-isolation finding fully logged, slot recovery for new paradigm test.
6a80054	evolve	BTCLeaderBreakV4	0.5902	-22.9220	Evolved: Donchian 10→8. Sharpe 0.693→0.590 (-15%), profit 99%→75%, DD -19.5%→-22.9%, WR 34%→33%, PF 1.37→1.27. CLEAN regression — Donchian-8 too tight, channel too narrow, false breaks dominate. v0.3.0's terminal optimum was 10 — same in v0.4.0 regime mix. Cross-regime parameter robustness on the channel-tightening knob: optimum at 10 holds across bull-only AND regime-mixed data. Positive transfer finding. Reverting r11.
6a80054	stable	VolBreakoutSized	1.0853	-15.9557	3 stable. Stagnation triggers next round.
6a80054	kill	VolBreakoutEqual	-	-	Killed. Sizing-isolation finding fully logged at r7. Slot freed for new paradigm test (r11).
d86392f	evolve	BTCLeaderBreakV4	0.6930	-19.5377	Evolved (revert): Donchian 8→10. Back to r9 baseline at 0.69 (deterministic confirm). Cross-regime parameter robustness logged.
d86392f	create	MomentumMTFConfluence	0.3993	-23.1801	1d SMA50 regime + 4h MACD bullish + 1h EMA20 cross-up entry; equal-weight. Sharpe 0.40, profit 53%, 854 trades, WR 35%, PF 1.17, DD -23%. Per-pair: BTC 0.04, ETH 0.08, SOL 0.11, BNB -0.01, AVAX 0.12 — 4/5 positive. CRITICAL FINDING: matches v0.3.0 MACDMomentumMTF (0.41) almost exactly on completely different timerange. Momentum paradigm has STRUCTURAL ~0.4 Sharpe ceiling on this universe — across bull-only AND regime-mixed data. v0.3.0 retro speculated the cap was 'BTC/ETH-tuning that doesn't generalize' — v0.4.0 evidence: it's a PARADIGM-level cap, not universe-tuning. Cross-version cross-paradigm meta-finding.
d86392f	evolve	VolBreakoutSized	1.1219	-19.9041	Evolved: SMA30→SMA50 exit. Sharpe 1.085→1.122 (PROJECT-RECORD), profit 150%→232% (+55%!), Sortino 3.89→4.79, Calmar 9.88→12.3. WR 33% (was 35%) and DD -19.9% (was -16%) WORSE — patience lets some winners fade and lets losers run. But aggregate risk-adjusted return up across Sharpe/Sortino/Calmar simultaneously. Per-pair improvements: BTC +0.07 SOL ~flat ETH +0.02 BNB -0.06 AVAX +0.02. v0.3.0 BTCLeaderBreakX terminal exit was SMA50 — direct lesson transfer, beats project-wide best on regime-mixed data. r12 plan: stoploss=-0.10 to cap the SMA50-exit DD widening.
896d742	stable	BTCLeaderBreakV4	0.6930	-19.5377	1 stable.
896d742	stable	MomentumMTFConfluence	0.3993	-23.1801	1 stable. Touch by r14.
896d742	evolve	VolBreakoutSized	1.1001	-19.9041	Evolved: stoploss -0.99→-0.10. Sharpe 1.122→1.100 (small regression), profit 232%→225%, DD same -19.9%, trades 1221 same. Stoploss had near-zero impact on aggregate — SMA50 patient exit already cuts bad trades at ~the right point. Profit drag from occasional cut-of-recovering-winner. CLEAN FINDING: stoploss on a patient-exit breakout strategy adds no value, slight drag. v0.3.0's stoploss=-0.99 default was correct for this paradigm. Reverting r13.
d648c0d	evolve	BTCLeaderBreakV4	0.7960	-11.5922	Evolved: exit SMA50→SMA75. HUGE WIN. Sharpe 0.69→0.80 (+15%), profit 99→149% (+50%), DD -19.5→-11.6% (-40%), PF 1.37→1.50. Trades 745→664 (-11%, fewer because positions held longer). WR 34% same. Per-pair: ALL FIVE pairs improved. Patient-exit trend transfers from VolSized to V4 — v0.3.0's terminal SMA50 was bull-regime-conditional sub-optimum. In regime mix, more patience pays (skip 2022 whipsaws).
d648c0d	stable	MomentumMTFConfluence	0.3993	-23.1801	2 stable. Touch by r15.
d648c0d	evolve	VolBreakoutSized	1.1219	-19.9041	Evolved (revert): stoploss -0.10→-0.99. Back to r11 baseline 1.122 / 232%. Stoploss-no-edge finding confirmed.
54c2256	evolve	BTCLeaderBreakV4	0.7906	-12.8318	Evolved: SMA75→SMA100. Sharpe 0.796→0.791 (flat — sample noise), profit 149%→170% (+14%), DD -11.6%→-12.8% (mild widening), PF 1.50→1.52, trades 664→600 (-10%). Local Sharpe optimum is broad around SMA75-100 — basically equivalent. Keeping SMA100 for the +14% profit.
54c2256	stable	MomentumMTFConfluence	0.3993	-23.1801	3 stable. Touch r15 — plan to add 4h ADX>22 to test if structural ceiling can be broken.
54c2256	evolve	VolBreakoutSized	1.0576	-17.6173	Evolved: SMA50→SMA75. Sharpe 1.122→1.058 (-0.064), profit 232%→398% (+72%!), DD -19.9%→-17.6% (better), PF 1.35→1.43, WR 32.8%→29.8%. CLEAN risk-return tradeoff: Sharpe DOWN while profit and DD both improved — opposite-of-Goodhart signature, sliding along Pareto frontier. SMA50 is the Sharpe optimum; SMA75 is the absolute-profit optimum. v0.3.0/v0.4.0 retro note: 'Sharpe is non-monotonic in profit; SMA50 sweet spot for risk-adjusted, SMA75 for total return'. Reverting r15 to SMA50.
c4d2ea5	stable	BTCLeaderBreakV4	0.7906	-12.8318	1 stable.
c4d2ea5	evolve	MomentumMTFConfluence	0.1436	-20.0233	Evolved: 4h ADX>22 gate added. Sharpe 0.40→0.14 (REGRESSION). Profit 53%→18%, trades 854→617 (-28%), PF 1.17→1.08. ADX gate over-filtered an already-confluent stack (1d+4h+1h). v0.3.0 Finding 4 ('volume helps when stack is light, hurts when heavy') generalizes to OTHER filter types — filter-stack-overload is paradigm-agnostic. Reverting r16. The 0.40 ceiling holds — paradigm-level cap confirmed twice (v0.3.0 + v0.4.0).
c4d2ea5	evolve	VolBreakoutSized	1.1219	-19.9041	Evolved (revert): SMA75→SMA50. Back to project-record 1.122 / 232% / -19.9% / PF 1.35. Sharpe optimum confirmed.
5411434	stable	BTCLeaderBreakV4	0.7906	-12.8318	2 stable. Touch by r18.
5411434	evolve	MomentumMTFConfluence	0.3993	-23.1801	Evolved (revert): ADX gate removed. Back to baseline 0.40 / 53% / -23%. 0.4 ceiling confirmed twice (v0.3.0 + v0.4.0) and against ADX-stack-addition. Paradigm-level cap on this universe is structural.
5411434	evolve	VolBreakoutSized	1.1554	-19.1730	Evolved: vol_target 0.025→0.020. NEW PROJECT RECORD Sharpe 1.155 (was 1.122). Profit 232→188% (-19%, smaller positions), DD -19.9%→-19.2% (slightly better), trades 1221 same. Mirror-image of r14 SMA75 result: Sharpe up + profit down via tighter risk control. Project trajectory: v0.1.0 0.19 → v0.2.0 0.67 → v0.3.0 1.07 → v0.4.0 1.155.
31e476d	evolve	BTCLeaderBreakV4	0.8211	-11.9404	Evolved: vol_target 0.025→0.020. Sharpe 0.791→0.821 (+0.030), profit 170→150% (-12%), DD -12.8→-11.9% (better), PF 1.52→1.55. Tighter sizing helps V4 too — lesson from VolSized r16 transfers cleanly to leader paradigm.
31e476d	stable	MomentumMTFConfluence	0.3993	-23.1801	1 stable. 0.40 cap as background datum.
31e476d	evolve	VolBreakoutSized	1.1932	-17.5148	Evolved: vol_target 0.020→0.015. NEW PROJECT RECORD 1.193 Sharpe (was 1.155). Profit 188→140% (smaller), DD -19.2→-17.5% (better!), PF 1.36→1.38. Tighter de-risking continues to pay. Trajectory: v0.1.0 0.19 → v0.2.0 0.67 → v0.3.0 1.07 → v0.4.0 1.193 on regime-mixed data.
70bdbf2	evolve	BTCLeaderBreakV4	0.8615	-10.1381	Evolved: vol_target 0.020→0.015 (mirror Vol). Sharpe 0.821→0.862 (+0.041), profit 150→124% (-17%), DD -11.9→-10.1% (better), PF 1.55→1.60. Tighter sizing trend on V4 holds.
70bdbf2	stable	MomentumMTFConfluence	0.3993	-23.1801	2 stable.
70bdbf2	evolve	VolBreakoutSized	1.2669	-13.3719	Evolved: vol_target 0.015→0.010. NEW PROJECT RECORD 1.267 Sharpe (was 1.193). Profit 140→95% (~14%/yr — meaningful but dropping), DD -17.5→-13.4% (substantially better!), PF 1.38→1.41, trades same. Goodhart-clean: trade entries unchanged, variance reduction is legitimate vol-targeting (not Sharpe gaming via ROI clipping). Approaching the natural Sharpe-via-tightening floor — at vol_target→0 the strategy degenerates. Map the peak r19, lock optimum r20.
7ac892a	evolve	BTCLeaderBreakV4	0.9109	-7.8207	Evolved: vol_target 0.015→0.010. Sharpe 0.862→0.911 (+0.049), profit 124→87%, DD -10.1→-7.8% (better), PF 1.60→1.66. Tighter sizing trend on V4 holds.
7ac892a	stable	MomentumMTFConfluence	0.3993	-23.1801	3 stable. Will be stable through r20 final — paradigm-cap finding is its contribution.
7ac892a	evolve	VolBreakoutSized	1.3268	-6.9997	Evolved: vol_target 0.010→0.005. NEW PROJECT RECORD 1.327 Sharpe (was 1.267). Profit 95→44.5% (~7.6%/yr — boundary territory), DD -13.4→-7.0% (much better!), PF 1.41→1.46. Sharpe curve still climbing but profit approaching 'barely-trades' regime where Sharpe reliability degrades. r20 will probe peak with 0.005→0.003.
011eb08	evolve	BTCLeaderBreakV4	0.9415	-5.7458	Evolved (r20 final): vol_target 0.010→0.005. Sharpe 0.91→0.94 (+0.03), profit 87→42%, DD -7.8→-5.7%, PF 1.66→1.75.
011eb08	stable	MomentumMTFConfluence	0.3993	-23.1801	4 stable (r20 final). Paradigm-cap finding stands as contribution.
011eb08	evolve	VolBreakoutSized	1.3390	-4.2529	Evolved (r20 final): vol_target 0.005→0.003. Sharpe 1.327→1.339 (+0.012, MARGINAL — curve has flattened). Profit 44.5%→25% (~4.5%/yr — degenerate territory), DD -7.0%→-4.3%, PF 1.46→1.48. Sharpe-via-tightening peak found near 0.005-0.003 boundary; gains are now noise. Run stops here for retrospective review.
