commit	event	strategy_name	sharpe	max_dd	note
b0624bf	stable	BNBMeanRevertSharp	0.0789	-3.10	r3: stable. Identical to r0/r2 (deterministic confirmation that r2 revert worked). Non-dominated; only working strategy.
b0624bf	evolve	TrendRegimeFiltered	-0.3054	-22.48	r3: revert r1+r2 layered defenses to r0 baseline. EXACT r0 numbers — deterministic confirmation. bull 0.50 / winter -0.31 / full 0.38. r1+r2 both pessimized; back to clean baseline.
2832f5b	evolve	AltsBollBreak	-1.01	-20.57	r4: add 1d EMA200 slope-up filter as winter defense (revert stoploss). winter trade count 13→4 (good silencing), winter sharpe -3.82→-1.01. BUT full_5y profit COLLAPSED +1067%→+252%, sharpe 0.21→0.12. Same trade-off as r2: regime filtering kills early-cycle bull entries (+642% lost). After 4 rounds (r1/r2/r3/r4), no defense holds robust positive without killing bull profit. Decision: kill at r5 and pivot paradigm.
2832f5b	stable	BNBMeanRevertSharp	0.0789	-3.10	r4: stable (counter=2). Holding.
2832f5b	evolve	TrendRegimeFiltered	-0.46	-23.30	r4: switch ema cross exit → patient SMA75-eq exit (300-bar 1h SMA). v0.4.0 r13 found regime-mix prefers patient exits (SMA50→SMA75 lifted +0.11 sharpe) — but here patient exit HURT winter (-0.31→-0.46); letting losers run is wrong when winter trades are mostly false positives. v0.4.0 finding doesn't transfer cleanly: VolBreakoutSized had 4h ema regime gate as an additional entry filter. Reverting r5.
23cc60b	kill	AltsBollBreak	-	-	r5: killed after 4 evolves with no winter-positive robust_sharpe. r0 baseline -2.33 → r1 best full_5y +894% but -1.18 winter → r2 -1.70 → r3 +1067% but -3.82 winter (Sharpe paradox) → r4 -1.01. Multiple winter defenses (1d position filter, stoploss, slope filter) each traded bull profit for winter silencing. Conclusion: this paradigm (Donchian-48 sustained breakout on alts) has structural winter exposure that cannot be patched without killing the edge. Replaced with CrashRebound (counter-trend / drawdown-rebound).
23cc60b	create	CrashRebound	-0.84	-29.25	r5: new paradigm "other" (counter-trend). Buy after -25% from 30d high + RSI<35 confirmation. bull_2021 0.82 sharpe / +31% / WR 62.5% — STRONGEST bull number any strategy has hit yet; crashes-and-bounces have real edge in directional regimes. winter -0.84 / -21.8% (asymmetric: bounces smaller than continuation drops). recovery 0.008/+0.5% (flat — sideways regime is bounce-dead). full +4.3%. Pareto-dominated by BNB (0.08 robust). r6 priority: 1d slope-up filter as winter defense (the only defense that worked structurally in any prior strategy).
23cc60b	evolve	TrendRegimeFiltered	-0.31	-22.48	r5: revert r4 patient SMA75-eq exit back to symmetric ema cross. EXACT r0 numbers again — confirmed r0 baseline is the local optimum across 5 rounds of evolves. full 0.38 / +415%, winter -0.31. After 5 rounds without lift, this strategy is plateaued; if r6-r8 don't unstick robust_sharpe, kill candidate.
357a8ea	kill	TrendRegimeFiltered	-	-	r6: killed after 5 rounds plateaued at r0 baseline. Multiple defenses (1.05 buffer r1, slope-up r2, patient SMA75 exit r4) all neutral / pessimizing. Consistently produced full_5y 0.38 / +415%, winter -0.31 — the paradigm has structural winter exposure on full 5-pair that no within-strategy patch addresses. Better to free slot for new paradigm experiments. Finding: 4h ema-cross trend on regime-mixed crypto majors caps at ~0.4 aggregate Sharpe with always-negative winter — same paradigm cap v0.4.0 surfaced for momentum (~0.40). Cross-version cap candidate.
357a8ea	fork	BNBMeanRevertSharp→BNBMeanRevertMulti	0.0789	-3.10	r6: forked to test the v0.4.0 "MR is BNB-skewed" hypothesis cleanly — child drops pair_basket to use full whitelist with identical entry logic. Parent unchanged this round (acts as the no-touch control). Acts as fork-event for parent stagnation rule (BNB had 3 stables r3-r5; fork in r6 satisfies the act-on-strategy mandate). Parent metrics deterministic same as r0/r2/r3/r4/r5.
357a8ea	create	BNBMeanRevertMulti	-0.35	-35.72	r6: fork of BNBMeanRevertSharp with full 5-pair basket. CRITICAL FINDING: per-pair on full_5y shows RSI<25 signal is BNB-only — BTC -0.14 / ETH -0.18 / SOL -0.09 (all negative) vs BNB +0.15 / AVAX +0.02. The fork experiment confirms v0.4.0's "MR is BNB-skewed" suspicion as a genuine cross-pair finding. Aggregate -0.21 sharpe / -20% profit on full_5y because 4 pairs dilute the BNB edge. winter -0.35. Pareto-dominated. r7 priority: kill — experiment answered, no path forward without per-pair entries.
357a8ea	evolve	CrashRebound	0.0242	-8.65	r6: ADD 1d EMA200 slope-up filter. winter sharpe -0.84 → +0.024, profit -21.8% → +0.56%; bull 0.82→0.53 (slope filter cut bull profit too); recovery 0.008→0.038; full +4.3%→+16.9%, sharpe 0.027→0.137. ALL 4 REGIMES NOW POSITIVE — robust_sharpe FLIPPED from -0.84 to +0.024. Second strategy ever to clear robust>0 (BNB is the other). Pareto-dominated by BNB. r7+: relax bull-side filter to recover lost bull profit while keeping winter defense.
b1e2109	stable	BNBMeanRevertSharp	0.0789	-3.10	r7: stable. Counter=1 post-r6 fork-act.
b1e2109	kill	BNBMeanRevertMulti	-	-	r7: killed. Cross-pair MR experiment ANSWERED in r6: BNB +0.15 / AVAX +0.02 vs BTC -0.14 / ETH -0.18 / SOL -0.09. RSI<25 + 1d EMA200 filter is BNB-specific; doesn't generalize. v0.4.0 "MR is BNB-skewed" suspicion is now CONFIRMED cross-pair finding.
b1e2109	stable	CrashRebound	0.0242	-8.65	r7: stable. Deterministic confirmation of r6 robust 0.024.
b1e2109	create	MajorsBTCLeader	-0.17	-5.20	r7: BTC 4h Donchian-24 leader signal triggers all-pair entries + same-pair 4h ema50>ema200 filter + patient SMA75 exit. v0.3.0 paradigm under v0.4.1 multi-timerange honesty test. Result: bull 0.13/+4.8% (WR 23.5%), winter -0.17/-2.1% on 6 trades, full_5y 0.14/+24% / 76 trades. Way below v0.4.0 BTCLeaderBreakV4 (+170%). Same-pair filter likely too restrictive (low trade count); r8 try removing it.
fd87496	stable	BNBMeanRevertSharp	0.0789	-3.10	r8: stable. Counter=2.
fd87496	evolve	CrashRebound	0.003	-10.68	r8: relax DD threshold -25%→-20%. full_5y profit +17%→+34.5%, sharpe 0.137→0.264. bull 0.53→0.69 / WR 67.6→71.7. winter held at ~zero (0.024→0.003). Trade count 135→221. profit_floor still FAIL (winter +0.08%<20%) — winter is the floor. Lift on bull/recovery/full at marginal robust cost. Direction good.
fd87496	evolve	MajorsBTCLeader	-0.68	-10.74	r8: dropped same-pair 4h ema filter. WORSE: winter sharpe -0.17→-0.68 (filter was a winter defense by accident — kept BTC-leader entries from firing on alts mid-collapse). bull 0.13→0.11, full +24%→+19%. r9: kill — 2 rounds without path forward, paradigm not transferring under v0.4.1 honesty bar.
021e120	stable	BNBMeanRevertSharp	0.0789	-3.10	r9: stable. Counter=3 since r6 fork-act; MUST act in r10.
021e120	create	BNBSizedConviction	0.0980	-3.75	r9: fork of BNB with RSI-depth conviction sizing (scale=clamp(25/RSI, 0.5, 2.0)). Identical 115 trades, identical WR 69.6% — signal preserved. avg_position 19.98%→21.98%, full profit 10.8%→12.46%, recovery 3.41%→5.05%. robust_sharpe 0.0789→0.0980 — sized weakly dominates parent. v0.4.0 r7 ablation reaffirmed: sizing isn't EDGE. New finding: conviction sizing redistributes profit toward deeper-conviction regimes (recovery+full got the lift; bull/winter roughly flat).
021e120	stable	CrashRebound	0.0034	-10.68	r9: stable. Deterministic.
021e120	kill	MajorsBTCLeader	-	-	r9: killed. r7 baseline -0.17 robust, r8 same-pair-filter drop made it -0.68. v0.3.0 BTCLeaderBreakX (1.07 single-bull) and v0.4.0 BTCLeaderBreakV4 (0.79 full single-timerange) do NOT survive v0.4.1 multi-timerange honesty bar. Cross-pair leader signal correlates portfolio DD in winter — exact mechanism v0.4.0 retro flagged. Cross-version finding: cross-pair Donchian leader has structural winter exposure that vanishes when robust-sharpe is the metric.
2c31f41	kill	BNBMeanRevertSharp	-	-	r10: killed parent. BNBSizedConviction (child) weakly dominates on robust_sharpe 0.098 vs 0.0789. Frees a slot for new paradigm experiment. Both kept in results.tsv for ablation reference.
2c31f41	create	AltsBollLowerMR	-0.48	-16.88	r10: Bollinger lower-band MR on SOL+AVAX with 1d slope-up filter. bull_2021 1.29 sharpe / +22.4% / WR 68.3% — STRONGEST bull number any strategy in this run. winter -0.48 / -10.7% — slope filter alone fails: BB excursions fire too often in winter chop. full_5y 0.13 / +12% / 403 trades. Confirms statistical-MR has cross-pair (SOL+AVAX) reach that RSI-MR didn't (BNBMeanRevertMulti finding) — different signal family, different result. r11 priority: transfer CrashRebound's volume filter as winter defense.
2c31f41	stable	BNBSizedConviction	0.0980	-3.75	r10: stable r1.
2c31f41	evolve	CrashRebound	0.0623	-10.68	r10: ADD volume>1.3*SMA20 confirmation. winter sharpe 0.003→0.062, profit +0.08→+1.57. bull 0.69→0.78. full 0.26→0.28 / +34.5→+37.9%. robust_sharpe 0.003→0.062 (20x lift). Volume filter is GOLD — same transferable principle as v0.2.0 finding "volume helps". Direct transfer to AltsBollLowerMR queued for r11.
98853d0	stable	BNBSizedConviction	0.0980	-3.75	r11: stable.
98853d0	stable	CrashRebound	0.0623	-10.68	r11: stable. Validates r10 robust.
98853d0	evolve	AltsBollLowerMR	-0.47	-17.98	r11: ADD volume>1.3*SMA20 filter. bull 1.29→1.33 (best ever), winter -0.48→-0.47 (basically unchanged), full_5y 0.13→0.05 (degraded). Volume filter DOESN'T transfer here — different mechanism than CrashRebound. CrashRebound enters on -20% DD where volume is rare in low-vol coast (filter selects real capitulations); AltsBoll enters on BB excursions which fire with normal volume in high-vol alts. Volume-filter-as-edge is paradigm/pair-specific.
1f652a4	stable	BNBSizedConviction	0.0980	-3.75	r12: stable.
1f652a4	stable	CrashRebound	0.0623	-10.68	r12: stable.
1f652a4	evolve	AltsBollLowerMR	-0.27	-23.69	r12: ADD close>1d EMA200 (double regime gate: slope-up + instant-position). winter -0.47→-0.27 (improved), bull unchanged 1.33, full_5y 0.05→-0.05 (degraded — instant-position filter cut profitable bull-tail entries). Same trade-off as r2 AltsBollBreak: every regime filter trades full profit for winter Sharpe.
301439c	kill	AltsBollLowerMR	-	-	r13: killed. 4 rounds (r10/r11/r12) without robust positive. BB-lower MR on alts has structural winter-fragility — no defense reaches positive worst-regime without killing bull edge. Distinct from BNB-RSI MR which IS cross-regime-stable. Cross-paradigm finding: stat-MR (Bollinger) ≠ momentum-MR (RSI) under regime mix; signal family matters as much as pair fit.
301439c	evolve	BNBSizedConviction	0.0980	-3.75	r13: cap 2x→3x. ZERO effect on results (deterministic same as r9). BNB RSI<25 entries rarely have RSI<12.5, so 2x cap was non-binding. Finding: signal-conviction has saturation at 2x for BNB-RSI mechanism.
301439c	stable	CrashRebound	0.0623	-10.68	r13: stable.
301439c	create	PerPairMR	-0.11	-22.48	r13: first per-pair-conditional strategy. BNB→RSI<25 mechanism, SOL+AVAX→BB-lower mechanism. bull 1.63 sharpe (NEW HIGHEST IN RUN) / +28.6%. winter -0.11, recovery -0.10 (both negative — alts BB-MR doesn't work in sideways recovery). robust -0.11. r14 priority: tighten alts gate.
3d9b9b0	stable	BNBSizedConviction	0.0980	-3.75	r14: stable counter=1.
3d9b9b0	evolve	CrashRebound	-0.22	-12.99	r14: SMA50 → SMA100 patient exit (try transferring v0.4.0 r13 finding). BACKFIRED: bull 0.78→0.86 but winter 0.06→-0.22, recovery 0.19→0.01, full 0.28→0.10. Patient exit lets crash bounces ride past peak into reversion — drawdown-rebounds revert quickly. v0.4.0 r13 patient-exit finding is paradigm-specific to BREAKOUTS, not counter-trend MR. Cross-version paradigm-transfer FAILURE — same shape as r11 volume-filter-failure: edge mechanisms don't transfer cleanly across paradigms.
3d9b9b0	evolve	PerPairMR	0.0520	-15.47	r14: ADD 4h ema50>ema200 to alts branch. winter -0.11→+0.05 (FLIPPED!), recovery -0.10→+0.11 (FLIPPED!), full 0.14→0.30 (DOUBLED). robust -0.11→+0.052 — POSITIVE robust. THIRD strategy ever to clear robust>0 (BNB+CrashRebound+PerPairMR). 4h trend gate is the second gold finding (volume filter was first).
d245191	stable	BNBSizedConviction	0.0980	-3.75	r15: stable counter=2.
d245191	evolve	CrashRebound	0.0623	-10.68	r15: revert SMA100→SMA50. Back to r10 baseline.
d245191	stable	PerPairMR	0.0520	-15.47	r15: stable counter=1. Validates r14 robust 0.052.
407b700	evolve	BNBSizedConviction	0.0980	-3.75	r16: cap 3x→2x revert. Cleanup of no-op r13.
407b700	evolve	CrashRebound	0.0847	-12.81	r16: ADD DD-conviction custom_stake_amount (scale=clamp(abs(dd)/0.20, 0.5, 2.0)). robust 0.062→0.085 (37% lift), avg_position 22.07%→29.6%, full_5y +37.9%→+55.7%. CONVICTION SIZING TRANSFERS ACROSS PARADIGMS — RSI-depth on BNB-MR (r9) and DD-depth on drawdown-rebound (r16) both deliver same effect: same trades but redistributed profit toward deeper-conviction regimes. Generic principle confirmed: sizing redistributes, doesn't add edge.
407b700	stable	PerPairMR	0.0520	-15.47	r16: stable counter=2.
0ccbbe7	evolve	BNBSizedConviction	0.0950	-4.59	r17: scaling formula 25/RSI → 1+(25-RSI)/10 (linear, hits 2x at RSI=15 vs 12.5). avg_position 21.98%→24.18% (binds more often), DD -3.75→-4.59. robust 0.098→0.095 (slight DROP). Pareto-dominated by r9 — clean instance of "more aggressive sizing != better robust"; it's a Pareto MOVE (more profit, more risk) not a free lunch.
0ccbbe7	stable	CrashRebound	0.0847	-12.81	r17: stable counter=1.
0ccbbe7	stable	PerPairMR	0.0520	-15.47	r17: stable counter=3 — must act r18.
e30aaff	evolve	BNBSizedConviction	0.0980	-3.75	r18: revert linear to 25/RSI. Cleanup. Confirms 25/RSI was the Pareto optimum.
e30aaff	evolve	CrashRebound	0.0134	-14.94	r18: expand basket SOL+AVAX+BNB → full 5-pair. bull 0.85→1.07, recovery 0.19→0.33, full_5y 0.29→0.40 (HIGHEST FULL SHARPE IN RUN). BUT winter 0.085→0.013 (BTC/ETH winter-bounces weaker than alts). Net robust 0.085→0.013 — a clean Pareto MOVE where best-case improved but worst-case dropped. Drawdown-rebound paradigm DOES generalize to majors in directional regimes but NOT under v0.4.1 robust-sharpe honesty bar. Reverting basket r19.
e30aaff	evolve	PerPairMR	0.0520	-14.55	r18: ADD BTC+ETH branches with Donchian-48 sustained-break + 4h macro + volume. First multi-paradigm-conditional strategy: BNB→RSI MR, SOL/AVAX→BB MR, BTC/ETH→Donchian breakout. full_5y 0.30→0.35 / +31.4%→+35.8% (lift), trade count 387→519. winter UNCHANGED at 0.052 (BTC/ETH branch silent in winter — slope-up filter blocks). Pareto IMPROVEMENT — robust held while full lifted.
828a0cf	stable	BNBSizedConviction	0.0980	-3.75	r19: stable.
828a0cf	evolve	CrashRebound	0.0847	-12.81	r19: revert r18 basket expansion to 3-pair alts+BNB. Back to r16 baseline (robust 0.085). Confirms r18 finding: drawdown-rebound + majors is Pareto-dominated by drawdown-rebound + alts only under v0.4.1 honesty bar.
828a0cf	stable	PerPairMR	0.0520	-14.55	r19: stable counter=1. Validates r18 expansion holds.
c5f0648	stable	BNBSizedConviction	0.0980	-3.75	r20: stable.
c5f0648	stable	CrashRebound	0.0847	-12.81	r20: stable.
c5f0648	evolve	PerPairMR	0.0377	-14.55	r20: ADD per-branch sizing (BNB branch: 25/RSI conviction; alts/majors: baseline 1.0). Robust DROPPED 0.052→0.038. BNB winter dropped 0.22→0.19 — deeper-RSI entries in winter are MORE risky (smaller bounce probability when 1d trend down). Sizing transfer to multi-pair container doesn't compose linearly.
69d63e9	stable	BNBSizedConviction	0.0980	-3.75	r21: stable.
69d63e9	stable	CrashRebound	0.0847	-12.81	r21: stable.
69d63e9	evolve	PerPairMR	0.0439	-14.40	r21: regime-aware sizing (boost only when slope_up==1). robust 0.044 — partially recovers vs r20 (0.038) but still below baseline 0.052. Regime-conditional sizing helps somewhat but no free lunch on transfer to multi-pair container.
46bf266	kill	BNBSizedConviction	-	-	r22: killed. Frees slot for new paradigm. Mechanism preserved in PerPairMR's BNB branch and in RegimeAdaptiveBNB later. r9 row remains in tsv as the Pareto-frontier reference.
46bf266	stable	CrashRebound	0.0847	-12.81	r22: stable.
46bf266	evolve	PerPairMR	0.0520	-14.55	r22: revert sizing entirely. Lock r19 baseline robust 0.052.
46bf266	create	CrossPairRatio	-0.37	-20.06	r22: BTC/ETH ratio z-score MR. bull -0.003 / +flat, winter -0.37 / -12.9% (ETH side -12.4% — BTC outperformance kept ratio rising), full +11.7% / 0.08 sharpe. CONFIRMS v0.4.0 CrossPairMR finding: ratio MR has structural exposure to multi-month decoupling phases. Different ratio (BTC/ETH vs alt/BTC) but same paradigm cap. Cross-version reinforcement of "cross-pair ratio MR fails under regime mix".
5a9ac0a	evolve	CrashRebound	0.0095	-11.94	r23: ADD multi-bar DD confirmation (drawdown<-20% sustained ≥3 bars). robust 0.085→0.0095 — multi-bar requirement DROPS the inflection-point entries (bounces start WITHIN the 3-bar window). Single-bar DD<-20% trigger IS the local optimum; capitulation signals don't need post-confirmation when paired with RSI<35.
5a9ac0a	kill	CrossPairRatio	-	-	r23: killed after 1 round. Structural finding logged.
5a9ac0a	create	MomentumGoldFilters	-0.63	-8.10	r23: 4h MACD bullish-cross + ALL gold filters (slope-up + close>EMA200 + 4h ema gate + volume + patient SMA50 exit). full_5y 0.21 — BELOW v0.4.0 momentum cap of 0.40! Stacking ALL gold filters degraded vs less-filtered v0.4.0. Confirms+extends v0.4.0 r16 filter-stack-overload finding: MORE filters ≠ better Sharpe even when individually proven.
5a9ac0a	stable	PerPairMR	0.0520	-14.55	r23: stable.
ae03008	evolve	CrashRebound	0.0847	-12.81	r24: revert multi-bar DD (lock r10/r16 baseline 0.085).
ae03008	evolve	MomentumGoldFilters	-0.27	-15.88	r24: drop volume filter. bull 0.05→0.46 (9x lift!), full 0.21→0.26. Volume filter HURTS momentum (continuations don't spike volume) but HELPS drawdown-rebound (capitulations do). 3rd cross-paradigm transferability finding: filter transferability is paradigm-specific.
ae03008	stable	PerPairMR	0.0520	-14.55	r24: stable.
e9caf3e	stable	CrashRebound	0.0847	-12.81	r25: stable.
e9caf3e	kill	MomentumGoldFilters	-	-	r25: killed. v0.4.0 momentum 0.40 cap CONFIRMED INTRINSIC even with optimal filter stack. Cross-version paradigm cap reinforcement.
e9caf3e	create	RegimeAdaptiveBNB	0.0754	-4.37	r25: BNB MR with regime-DETECTED stake sizing (bull 1.5x / neutral 1.0 / winter 0.5x). bull 0.358 / +7.86% (BEST BNB bull ever), winter 0.261 / +3.67% (BEST BNB winter ever). BUT recovery 0.075 (lowest) → robust dominated. Signal-conviction sizing (BNBSized) > regime-detected sizing (RegimeAdaptive) for BNB MR — recovery is denser in pullbacks; RSI captures within-recovery structure that regime-classification can't.
e9caf3e	stable	PerPairMR	0.0520	-14.55	r25: stable.
f53740b	stable	CrashRebound	0.0847	-12.81	r26: stable.
f53740b	evolve	RegimeAdaptiveBNB	0.0967	-4.67	r26: COMPOSE regime × RSI-conviction sizing (multiplicative). Recovery lifted 0.075→0.097, robust 0.097 (within ε of BNBSized r9's 0.098). avg_pos 28.29%→31.16%, full +13.94%→+16.41%. Sizing mechanisms COMPOSE multiplicatively when independent. Pareto-equal to BNBSized at higher position size and DD.
f53740b	stable	PerPairMR	0.0520	-14.55	r26: stable.
2890675	stable	CrashRebound	0.0847	-12.81	r27: stable counter=3, must act r28.
2890675	evolve	RegimeAdaptiveBNB	0.0892	-6.31	r27: aggressive regime sizing 1.5x/0.5x → 2.0x/0.25x. robust 0.097→0.089, avg_pos 31%→40%, DD widened. Pareto MOVE not improvement — same shape as r17 BNBSized linear and v0.4.0 r17-r20 vol-target. THIRD instance of "sizing-knob Pareto walks have same shape" cross-version meta-finding.
2890675	evolve	PerPairMR	0.0358	-17.04	r27: slope window 7→14 bars. robust 0.052→0.036 — over-restrictive, silences too many recovery entries. 7-bar slope is the local optimum.
f903ae2	evolve	CrashRebound	-0.083	-18.45	r28: COMPOSE DD-conviction × regime sizing. robust CRASHED 0.085→-0.083, avg_pos 29.6%→44.6%. Why composition failed where it succeeded for BNB: regime and DD-signal are NEGATIVELY correlated (bull = small DDs = signal weak; winter = big DDs = signal strong). Composition INVERSE-amplifies. Cross-paradigm composition rule: only works when regime ⊥ signal-strength (BNB-RSI case) or positively correlated.
f903ae2	evolve	PerPairMR	0.0520	-14.55	r28: revert slope 14→7 (cleanup of r27 fail).
f903ae2	evolve	RegimeAdaptiveBNB	0.0967	-4.67	r28: revert regime sizing 2x/0.25x → 1.5x/0.5x (lock Pareto-equal optimum from r26).
ebe3254	evolve	CrashRebound	0.0847	-12.81	r29: revert composed sizing → DD-conviction only (r16 baseline). FINAL.
ebe3254	stable	PerPairMR	0.0520	-14.55	r29: stable. FINAL.
ebe3254	stable	RegimeAdaptiveBNB	0.0967	-4.67	r29: stable. FINAL.
